username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,
!Trump is from Germany! He lied to everybody! He said he's proud to have German Blood! #TrumpIsALiar #voteforhillary #ElectionNight,,,,,,,,,,
@axelc_roses @GobiernoUSA @Tecmilenio @TecMilenio_Mid @YouTube #VoteForHillary,,,,,,,,,,
#voteforhillary #ElectionNight #EleccionesEEUU2016 #USElection2016 #HillaryClinton @HillaryClinton Voten por Hillary. / Vote for Hillary pic.twitter.com/mDxfhWFjd0,,,,,,,,,,
Snarky Susie and I rock the vote #electionday2016 #ivoted #voteforhillary https://www. instagram.com/p/BMk33trjaul/,,,,,,,,,,
Just voted! Get yours in! #ivoted #vote #votefortrump #voteforhillary #votetrump #votehillary … https://www. instagram.com/p/BMkVQEzhyaF/,,,,,,,,,,
197for hillary 187for trump #voteforhillary #ElectionNight,,,,,,,,,,
We need Washington and Alaska!! Every vote counts!! #voteforhillary #vote https://www. instagram.com/p/BMk21q5lSI_/,,,,,,,,,,
#VoteForHillary and #FuckDonaldTrump,,,,,,,,,,
Je me suis bien trompé, aveuglé par les médias et mon envie d'avoir une femme élue aux US. #voteforHillary,,,,,,,,,
We are all America by countries without borders #voteforhillary #hillaryclinton #latinos … https://www. instagram.com/p/BMk3CJ-go-b/,,,,,,,,,,
#voteforhillary https:// twitter.com/iilcanon/statu s/796205868752588800 …,,,,,,,,,,
Todos por #VoteForHillary pero #FuckDonaldTrump pic.twitter.com/9jlZrhgJQd,,,,,,,,,,
How the election is looking right now #voteforhillary #ivoted https://www. instagram.com/p/BMk2ntuDjRx- nZyi3Q3l3pCQKeN8M9T4WZ4KO00/ …,,,,,,,,,,
#voteforhillary COME ON AMERICA WHATS HAPPEN,,,,,,,,,,
#voteforhillary @britneyspears @HillaryClinton pic.twitter.com/VBnGg051DS,,,,,,,,,,
If you believe in a free, progressive America... VOTE FOR HILLARY CLINTON #voteforher #voteforhillary #votehillary #voteforhillaryclinton !!,,,,,,,,,
estos pendejos que votan por trump no los quiero ver despues llorando como pendejos #ElectionDay #noseapendejo #voteforhillary,,,,,,,,,,
"Hoy más que nunca ""Latinoamérica es un pueblo al sur de Estados Unidos "" #EleccionesEEUU2016 #ElectionDay #voteforhillary",,,,,,,,,,
It's like an IQ test of Americans. #USpresidentialelections #voteforhillary,,,,,,,,,,
Listen to Var$ace Da'Kidd - Pull Up (EveryDay)| Prod. By @YoungTaylor by Wavy. #np on #SoundCloud #VoteForHillary https:// soundcloud.com/vdub21225/var- ace-dakidd-pull-up …,,,,,,,,,,
Bad news Floridians... #Elections2016 #ElectionDay #DumpTrump #voteforhillary pic.twitter.com/kMOsuBdo25,,,,,,,,,,
#ComplexCon also go Vote #IfYouFuckMyClintonImBillingYouHillaryImKillingYou #voteforhillary https://www. instagram.com/p/BMk1jwIAMkW/,,,,,,,,,,
Vamos @HillaryClinton demuestrale a @realDonaldTrump que te la pela el pendejo. #voteforhillary #ElectionDay,,,,,,,,,,
Come on voters.. don't give up #VoteForHillary #ElectionNight,,,,,,,,,,
9 more states #voteforhillary,,,,,,,,,,
America is not the progressive people we pretended to be... #DontVoteForTrump #votehillary #voteforhillary #vote #voteforher #voteclinton !!,,,,,,,,,,
#voteforhillary #VotenPorHillaryBolaDePendejos ahr,,,,,,,,,,
COMMON AMERICAN PEOPLE! #Vote2016 #voteforhillary #Voteforourfuture do you people want a Civil War?!? you will get one if Trump wins!,,,,,,,,,,
If That Clown Wins Tonight I'm Packing My Bags And Taking My Family To Greenland Or Canada #VoteForHillary,,,,,,,,,,
Lots of americans for Trump living in some states proved that they are completely retarded and uneducated. How pathetic. #voteforHillary,,,,,,,,,,
K, 109-201 Trump is winning we have to get him come on!! #voteforhillary #ElectionNight,,,,,,,,,
Baby that's what I'm talking about #ivoted #voteforhillary https://www. instagram.com/p/BMk0YU9DPrzU k39umtzVz7NhzLmWMkKOZblPCg0/ …,,,,,,,,,,
If you're #VoteForHillary please share this with all of your friends & family #ImWitHer pic.twitter.com/AGZd13R7rE,,,,,,,,,,
YEAH CALI DO THE DAMN THING THEN #VoteForHillary,,,,,,,,,,
BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOM. #voteforhillary #HillaryClintonForPresident,,,,,,,,,,
202 & 168 is updated for FL and IO? OMG, please P.A and N.C #VoteForHillary President in my heart. #ElectionNight,,,,,,,,,
lets start pulling the west coast states and we will see how conferrable that idiot feels. #voteforhillary,,,,,,,,,,
Really Florida ....Really , like what happened #ElectionNight #voteforhillary pic.twitter.com/NDUQimL7fw,,,,,,,,,
Yucks. It's ugly just like trump #VoteForHillary https:// twitter.com/businessinside r/status/796195633686163456 …,,,,,,,,,,
Bro all these tweets about trump got me fucked up, I'd be damned if he won the presidency #voteforhillary,,,,,,,,,
If Trump wins, there won't be any more gaming #VoteForHillary RT TO SPREAD AWARENESS,,,,,,,,,
#Michigan STAY. IN. LINE. #voteforhillary,,,,,,,,,,
Qué chingados le pasa al mundo!!!! #voteforhillary #SheMustWin #ElectionNight #ImWithHer https:// twitter.com/guardian/statu s/796197172790394883 …,,,,,,,,,,
trump might just get rid of coronas.. #voteforhillary,,,,,,,,,,
Come on!, you can make a difference... #VoteForHillary .... even you can do it!. god bless you,,,,,,,,,
These adorable muffins voted did YOU?? #OUAT #ElectionNight #VoteForHillary pic.twitter.com/YvYUH891bZ,,,,,,,,,,
#imwithher #voteforhillary It's not too late! Please, get out and vote! #losangeles #hawthorne … https://www. instagram.com/p/BMkwpOgjaMj/,,,,,,,,,
Just going to leave this here.. #voteforhillary #Dontvotetrump #ElectionNight pic.twitter.com/9vw909ZiSh,,,,,,,,,,
Please FL & OH: #voteforhillary #ElectionNight Praying...,,,,,,,,,,
la esperanza muere al último. Come on USA #VotoLatino #voteforhillary,,,,,,,,,,
#ElectionNight En serio estoy rezando porque @HillaryClinton gane!! #voteforhillary,,,,,,,,,,
#vote2016 #VoteForWhoYaWant #VoteForHillary #DoItForDahClenTahns #BigFreedia pic.twitter.com/qcQlyjKdkL,,,,,,,,,,
Make the right choice, America! #elections #voteforhillary #gogogo #whatanight … https://www. instagram.com/p/BMkxVi5jpRZ/,,,,,,,,,
Come on people, vote for the president who wants to make America better! #VoteForHillary #Clinton2016,,,,,,,,,
Last minute voting with superman and now the wait before the storm #vote #voteforhillary #voting … https://www. instagram.com/p/BMkxNuWAU5B/,,,,,,,,,,
@TracyFortShow please please please #dontstoppraying #voteforhillary #imwithher,,,,,,,,,,
Please think on your future, on your kids future!!! #VoteforHillary #electionnight,,,,,,,,,
mereces ganar vamos #HillaryClintonforpresident #voteforhillary,,,,,,,,,,
Hey Idaho.... Is it Idaho or Udahoe? #GoOutAndVote #VoteforHillary pic.twitter.com/DijQGIUaM0,,,,,,,,,,
To all of my #Kings & #Queens all over the world. I hope you guys will make the right decision tonight #VoteForHillary,,,,,,,,,,
#vote #voteforhillary https://www. instagram.com/p/BMkwClrBMCVF BfQD8NVs2YfUApg-T9-SwLo6ms0/ …,,,,,,,,,,
#mannequinchallenge #mannequin for the fucked up ass election we got #voteforhillary #vote … https://www. instagram.com/p/BMkvYgllKGs/,,,,,,,,,,
#voteforhillary #imwithher https:// twitter.com/sar_sinclair/s tatus/795972430757924865 …,,,,,,,,,,
Fucking dead #voteforhillary https:// twitter.com/juliobucio_/st atus/796176251450888192 …,,,,,,,,,,
Just stop saying this man name that gives him a higher advantage #voteforhillary,,,,,,,,,,
wtf is happening america. #voteforhillary #imwithher this is f*ing scary. please don't let voldemort win. :'( #Election2016,,,,,,,,,,
America, if Trump wins, your markets crash and you are stuck with a despot..you can only blame yourselves! #ElectionNight #voteforhillary,,,,,,,,
come on people we need all the votes for hillary we can get right now #voteforhillary,,,,,,,,,,
DON'T waste your vote on a third party candidate, #voteforhillary ! #StayInLine #YESon206 in #Az .,,,,,,,,,
I voted #Elections2016 #voteforhillary pic.twitter.com/NPCz87TYd7,,,,,,,,,,
#VoteForHillary !,,,,,,,,,,
GUYS SUPPORT HILLARY CLINTON, FUCK DONALD TRUMP. #americaisoverparty #voteforHillary #ElectionNight,,,,,,,,,
I want to live in a society that my family n i are safe I don't want to live in fear please #voteforhillary don't make Trump take that away https:// twitter.com/tyleroakley/st atus/796185252796370944 …,,,,,,,,,,
#voteforwhoyawant #voteforhillary,,,,,,,,,,
Bring back Bernie sanders #voteforhillary #ivoted https://www. instagram.com/p/BMktk4IDRVa1 rRktfT20ZJV5blmXmnsmSAD1eA0/ …,,,,,,,,,,
Saying it with #coffee after casting my #voteforhillary . A @menottis cappucino to get me through tonight. #imwithher pic.twitter.com/Uc5MNG2VOv,,,,,,,,,,
Se Trump ganhar adeus sonhos que já tive um dia #VoteForHillary,,,,,,,,,,
It ain't funny no more #voteforhillary #ivoted https://www. instagram.com/p/BMks9-ujYdhT tFifNpAE4dfX_ad0kOOMz6eTbs0/ …,,,,,,,,,,
People NEED to vote!!! #imwithher2016 #voteforhillary @HillaryClinton,,,,,,,,,,
"I Voted today did youuu!? ️ BTW"" #ImWithHer #Voteforhillary #ElectionNight2016 pic.twitter.com/hbAX8SYtCT",,,,,,,,,,
#ElectionNight #voteforhillary pic.twitter.com/ptHaqKprSC,,,,,,,,,,
１２組の盛り上がり（笑） #VoteForHillary,,,,,,,,,,
Tou revoltada mas também tou querendo chorar #VoteForHillary #ElectionNight,,,,,,,,,,
Como que uma pessoa tem coragem de votar naquele cara #VoteForHillary #ElectionNight,,,,,,,,,,
CALIFORNIA WE NEED YOU #VoteForHillary,,,,,,,,,,
No #NoLeDareGusto jJjjajkaj #elshowdeyiyo #Notichica Con Todo #voteforhillary https://www. instagram.com/p/BMksA6kg2y2/,,,,,,,,,,
That's word on my mama #ivoted #voteforhillary https://www. instagram.com/p/BMkrzLTDkA1A dVpjY346-7JbF-qwgIM11bueuw0/ …,,,,,,,,,,
¿que pasaría si las votaciones hubieran sido usando los #VoteForHillary o #VoteForElPelosDeElote ? #ElectionNight pic.twitter.com/DSIysc15ZM,,,,,,,,,,
Your next President, they seem friendly to me . #voteforhillary #votefortrump https://www. instagram.com/p/BMkrhjUh3gv/,,,,,,,,,
Vote for you who want... #VoteforHillary pic.twitter.com/YKzQcT0F4k,,,,,,,,,,
#VoteForHillary #LetsMakeHistory #ImWithHer https:// twitter.com/imwithher2016/ status/796151638322987009 …,,,,,,,,,,
Pretty much sums it all up! You got my vote ;) #vote #votefortrump #votetrump #voteforhillary … https://www. instagram.com/p/BMkqtLHgw4W/,,,,,,,,,,
Vote for Hillary C. Plzzzzzz #Hillary #voteforhillary pic.twitter.com/RHsypbJ3AC,,,,,,,,,,
r yall rlly gonna let ada's grandma not have anymore whipped cream? #VoteForHillary https:// twitter.com/tropicada/stat us/796179083768033280 …,,,,,,,,,,
Ich habe leider ein wirklich schlechtes Gefühl... Ich hoffe die Leute wissen was Sie machen...! #Florida #VoteForHillary #ElectionNight #USA,,,,,,,,,,
Plise #voteforhillary #fukyoutrump Hillary nex president, México suport Hillary come oooon América. pic.twitter.com/gi9MvbSvUW,,,,,,,,,
#VOTEFORHILLARY #VOTEFORHILLARY #VOTAAGORAIDIOTA #ElectionNight,,,,,,,,,,
Today, equality is on the ballot. #GOTV #VoteforHillary #nevertrump pic.twitter.com/ECdiow74e3,,,,,,,,,
Giving this election to God - too stressed Prayers tonight #voteforhillary @Scottsdale Shadows https://www. instagram.com/p/BMkpqF5B49Y/,,,,,,,,,,
She got my #vote #itsreal #voteforhillary #not #trump https://www. instagram.com/p/BMkpioEAH3X/,,,,,,,,,,
I want to drag every racist idiot out there who voted for Donald Trash!!!!!! #VoteForHillary,,,,,,,,,,
hillaryclinton is going up just a little bit but still it's crazy though #voteforhillary … https://www. instagram.com/p/BMko5TmDgFP/,,,,,,,,,,
Every vote counts!!! #vote #voted #voteforhillary #chicago @Hyde Park, Chicago https://www. instagram.com/p/BMkos_mhczI/,,,,,,,,,
Come on America don't mess this up! #voteforhillary https://www. instagram.com/p/BMkolGog1Hw/,,,,,,,,,,
